"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Significant"
1.5254708,7.12446698,3.88568593667742,0.000907989623063016,0.0192557553979936,-0.644773553781855,"ADORA2B","Up"
1.52516138,7.01342526,3.98574193383162,0.000718078045718383,0.0170286174577187,-0.424357341120956,"HOXA1","Up"
1.51555502,7.171975,5.56508029032534,1.84968477521351e-05,0.00321168436945,3.02234728804707,"ADAMTS6","Up"
1.5137357,11.23753685,7.25384210483663,4.87525714196597e-07,0.000865766305775207,6.40635163276038,"RAB31","Up"
1.5135115,12.14473355,3.49410160563594,0.00226540363803147,0.0307840538503775,-1.50053190083164,"GREM1","Up"
1.51310675,9.479021275,3.62828590687854,0.00165779784584819,0.0265210401451533,-1.20889845797192,"LOX","Up"
1.50617635,9.968448775,4.21964805092611,0.000414728540511992,0.0129878527601255,0.0921216179894619,"EPPK1","Up"
1.49712014,8.68210683,3.84467110438575,0.000999592254146616,0.020389963487879,-0.734979671566654,"MYL9","Up"
1.49127500000001,11.8116686,4.51215963816888,0.000208973744678166,0.0088905423607402,0.738052200686247,"NOP56","Up"
1.4909188,8.20385377,3.40153509630515,0.00280743728736789,0.0349306269069758,-1.7004007399544,"RGS4","Up"
1.48965042,9.22273574,3.63666091511289,0.00162573046886132,0.0262043212252613,-1.19063124522908,"BIRC5","Up"
1.4883701,8.29707369,3.54747753331207,0.00200112054656575,0.0290734227979624,-1.38477392428721,"DEPDC1B","Up"
1.48835262,8.06598747,4.1074671282427,0.000539643046033114,0.0145519653208702,-0.155713133385762,"CAD","Up"
1.4871375,10.11668975,3.93095173789524,0.000816560843234506,0.0181188393819172,-0.545113140979236,"KLHL23","Up"
1.48131178,9.15654736,3.43873078589225,0.00257582832907109,0.0332078321615696,-1.62023063058176,"NUF2","Up"
1.48048345,10.013317225,3.7946487189172,0.00112382324563272,0.0215493767713713,-0.844856548578031,"GUCY1A1","Up"
1.48024204,8.03152729,3.76635871291899,0.00120074561917712,0.022318820007629,-0.906921229228694,"SLC5A6","Up"
1.4799522,9.5359213,6.1067337611895,5.54228289344344e-06,0.00214220675394523,4.15198475469955,"HOXA3","Up"
1.47818183,7.748600725,3.14865730304109,0.00501973852594886,0.0483565880463192,-2.23942743447528,"FGFR4","Up"
